k,mse
1,20.309571207682293
2,23.49389567057292
3,26.29075830078125
4,25.64476924641927
5,33.891464192708334
6,118.40457963053386
7,118.37255550130209
8,151.4448642578125
9,149.22368774414062
10,155.95194734700522
11,169.80900040690105
12,172.60682108561198
13,177.43446321614584
14,184.78659326171876
15,199.78911861165363
16,226.0669060465495
17,243.32074247233072
18,238.8542520345052
19,280.8864551595052
20,305.8056103108724
21,330.9076920166016
22,335.59499072265623
23,350.9304629313151
24,358.12926826985677
25,357.0714395751953
26,342.07288842773437
27,322.1792512207031
28,307.4167919921875
29,300.8287092285156
30,296.5255332438151
31,297.0073538818359
32,301.00262430826825
33,308.9305137939453
34,311.8348150227865
35,308.06915356445313
36,307.30349552408853
37,314.3716476236979
38,311.00786372884113
39,305.4007949625651
40,296.67808813476563
41,283.4176908365885
42,276.32509236653647
43,277.3752912190755
44,290.8752400716146
45,296.0184920247396
46,300.5851053466797
47,307.1031923828125
48,313.7389323323568
49,315.26729361979164
50,313.12858959960937
