k,mse
1,7.095969075520833
2,9.035366617838541
3,9.841029256184896
4,12.716081136067709
5,17.19449812825521
6,11.819062296549479
7,13.429804117838541
8,13.298494588216146
9,13.816187337239583
10,15.013911051432292
11,12.635043497721353
12,16.614006022135417
13,16.427524454752604
14,17.321817952473957
15,16.04968994140625
16,12.941366821289062
17,13.304915079752604
18,11.204823323567709
19,10.616255533854167
20,10.947471110026042
21,8.833652506510417
22,7.725935221354167
23,8.171736857096354
24,8.535468139648437
25,8.570162150065103
26,9.280477945963542
27,10.682197265625
28,12.132377766927084
29,13.984590535481772
30,14.88815694173177
31,15.405647867838542
32,15.138877400716146
33,14.840242838541666
34,15.03993416341146
35,24.032289510091147
36,48.5227988688151
37,52.08858565266927
38,53.05410603841146
39,54.072280110677085
40,54.80308097330729
41,55.465009399414065
42,55.56230920410156
43,57.334716512044274
44,61.534841796875
45,61.296158325195314
46,61.335501017252604
47,61.79451375325521
48,63.55227079264323
49,66.24848331705729
50,68.91705432128906
