k,mse
1,2084.154515625
2,1120.5596698811848
3,519.4832784016927
4,383.9538896077474
5,322.2390085042318
6,304.2836669514974
7,277.6374468180339
8,271.49200231933594
9,258.739548828125
10,251.91128706868489
11,245.6354912109375
12,241.8770059407552
13,237.3870917154948
14,234.44580008951823
15,237.95058780924478
16,240.54283365885416
17,241.50815694173178
18,243.76782958984376
19,243.62337976074218
20,244.1550976155599
21,244.31751570638022
22,244.4235547281901
23,244.87383984375
24,244.2620664469401
25,242.7968380126953
26,242.3917393391927
27,240.2139892578125
28,239.92051888020833
29,239.2407881266276
30,239.76906579589843
31,239.78634606933593
32,240.07969006347656
33,240.7629513753255
34,240.53392854817707
35,240.6351739095052
36,243.97215799967447
37,246.98615669759116
38,249.1013868001302
39,249.17488167317708
40,249.84432153320313
41,250.03663240559897
42,249.60041255696615
43,250.52530525716145
44,250.86773368326823
45,250.82067244466145
46,251.96053194173177
47,252.46917000325521
48,254.1758220621745
49,253.8919286702474
50,253.14360111490885
