k,mse
1,143.84990425618489
2,193.47910868326824
3,203.35820235188802
4,205.78192911783853
5,208.0423800048828
6,206.90040677897136
7,205.81931608072918
8,198.3626357014974
9,186.55581831868489
10,184.36653853352865
11,166.19777596028646
12,150.97673197428387
13,147.5227401529948
14,158.24102762858072
15,181.12768884277344
16,224.23341971842447
17,233.10911560058594
18,277.7939944254557
19,288.3431928710938
20,290.1107413330078
21,317.5073341471354
22,343.13460327148437
23,352.3556627604167
24,354.09708829752606
25,354.1891831461589
26,340.837487508138
27,320.6475791015625
28,307.6541426595052
29,303.0520716145833
30,298.6128453776042
31,297.06670467122393
32,303.2934298502604
33,308.460034383138
34,308.9290815022786
35,306.2051922200521
36,308.5187676595052
37,318.63142150878906
38,318.61628397623696
39,316.37365706380206
40,306.26242435709634
41,288.5081579996745
42,273.55214107259116
43,271.86802290852864
44,290.4210023193359
45,297.42064005533854
46,301.0125552978516
47,307.269104695638
48,314.620524617513
49,317.35362451171875
50,316.2335712076823
