k,mse
1,6.219199300130208
2,7.042444295247396
3,7.4682754720052085
4,8.360123616536459
5,12.122664428710937
6,8.720337158203124
7,9.336360595703125
8,9.90249658203125
9,9.956740559895833
10,10.474168009440104
11,10.548958251953126
12,11.599378824869792
13,11.915875406901042
14,12.586143717447916
15,11.073316772460938
16,9.066673583984375
17,8.252017985026042
18,7.016913411458333
19,6.508751871744792
20,6.691149210611979
21,6.006639282226563
22,5.4146962890625
23,5.816480183919271
24,6.296120971679687
25,6.382421101888021
26,7.230652262369792
27,8.605797729492188
28,10.085184448242188
29,11.784603149414062
30,12.44637577311198
31,13.109188232421875
32,12.97932645670573
33,13.168241943359375
34,13.510453002929687
35,22.897942057291665
36,38.60511568196615
37,40.504374348958336
38,41.41788057454427
39,44.65188269042969
40,45.39057796223958
41,46.10530615234375
42,46.54101057942708
43,47.61724491373698
44,48.98694474283854
45,48.34285774739583
46,48.52804667154948
47,48.70556376139323
48,50.26343994140625
49,52.97599108886719
50,54.61396211751302
