k,mse
1,29.437232381184895
2,28.196463623046874
3,28.433495076497397
4,28.612891438802084
5,28.780049886067708
6,28.86764904785156
7,28.86638826497396
8,28.76636612955729
9,28.45050008138021
10,27.731025919596355
11,26.520144775390627
12,25.504343017578126
13,24.915029418945313
14,24.788627888997397
15,31.077497151692707
16,32.37993591308594
17,33.64038330078125
18,35.19446634928386
19,36.08764831542969
20,39.737966756184896
21,40.56988232421875
22,40.03926725260417
23,39.862769449869795
24,38.2014218343099
25,36.44222440592448
26,34.80729528808594
27,32.639087036132814
28,32.033889689127605
29,31.421257649739584
30,30.954002075195312
31,31.368128295898437
32,32.29397054036458
33,32.909820760091144
34,32.41325703938802
35,32.189415161132814
36,33.22752099609375
37,34.457959106445315
38,35.05648445638021
39,37.47641035970052
40,37.566164916992186
41,38.119481811523436
42,37.59747599283854
43,38.548087280273435
44,38.329641194661455
45,37.988951212565105
46,38.34568094889323
47,38.00972237141927
48,38.867054361979164
49,37.86628560384115
50,36.686751953125
