k,mse
1,25.7374453125
2,39.75593359375
3,36.03158984375
4,139.01849609375
5,39.67587109375
6,316.20985546875
7,36.80827734375
8,192.75609375
9,154.44055859375
10,428.18707421875
11,308.22587890625
12,99.85776171875
13,417.4258828125
14,490.22576953125
15,605.2390078125
16,504.6238125
17,970.42162890625
18,883.3569765625
19,596.22493359375
20,649.859390625
21,938.9369765625
22,1099.67554296875
23,1262.39343359375
24,1223.78234375
25,1143.8010625
26,1059.699890625
27,1025.36895703125
28,1017.488328125
29,1076.19320703125
30,924.07946875
31,913.043890625
32,838.82768359375
33,949.21378515625
34,936.0471015625
35,901.5847890625
36,1096.00783984375
37,1078.00642578125
38,1141.128296875
39,977.56618359375
40,986.0844609375
41,978.5618984375
42,1056.97709765625
43,1040.87835546875
44,1297.994265625
45,1314.75316796875
46,1370.00171875
47,1481.0086953125
48,1485.78109765625
49,1501.57981640625
50,1485.8161015625
