k,mse
1,3.37058984375
2,6.53116796875
3,12.9445625
4,92.889984375
5,131.833546875
6,185.87783984375
7,277.054
8,430.04323046875
9,413.852375
10,279.18989453125
11,295.4482890625
12,310.86130859375
13,326.41985546875
14,338.46334375
15,348.36828125
16,373.57787890625
17,444.6593203125
18,626.77287890625
19,652.9027734375
20,1254.9173671875
21,1367.27700390625
22,1389.3855703125
23,1057.06246875
24,1013.22672265625
25,1030.48834765625
26,1051.1136015625
27,1075.63343359375
28,1097.12566015625
29,1111.08465234375
30,1120.36405078125
31,1128.18133203125
32,1131.9188515625
33,1143.44333984375
34,1150.369390625
35,885.75905859375
36,836.9144921875
37,834.988265625
38,819.38699609375
39,816.44871484375
40,818.13623828125
41,821.5974765625
42,824.12315625
43,734.75311328125
44,716.5232734375
45,714.9557265625
46,716.7517109375
47,722.42730859375
48,728.10551953125
49,730.3268828125
50,729.85775
