k,mse
1,1.99995703125
2,7.99913671875
3,30.07274609375
4,107.41704296875
5,666.80186328125
6,1794.243921875
7,1908.1048046875
8,1885.190375
9,2327.82626171875
10,2127.4497421875
11,2203.34356640625
12,2276.52109375
13,2364.32803515625
14,2452.55470703125
15,1897.18350390625
16,1905.21690625
17,1880.78805859375
18,1884.06641796875
19,1886.96288671875
20,1949.77796484375
21,1959.7794921875
22,2088.63082421875
23,2175.2756328125
24,2118.7129140625
25,2213.7254453125
26,2367.96389453125
27,2418.472625
28,2368.0774296875
29,2418.9326796875
30,1198.02291796875
31,1152.454015625
32,1203.67991015625
33,1162.52948828125
34,1001.504671875
35,907.75834375
36,877.405140625
37,806.0188359375
38,735.2167578125
39,766.40049609375
40,785.37054296875
41,798.90899609375
42,888.798796875
43,863.97165234375
44,919.76433203125
45,1024.6988046875
46,1045.52969921875
47,892.29604296875
48,520.65896484375
49,450.2180546875
50,412.04046875
